"","Plate","Sample_ID","Treatment","Time","SOD_Absorbance_450nm","TotalProtein_ug","SOD_UmL","SOD_UmL_ng_protein"
"45",1,"T1-OA5","OA","1",0.8405,31.0023183705516,12.0897982744281,389.964328793937
"46",1,"T1-OA5","OA","1",0.7327,31.0023183705516,11.540195095451,372.236519782752
"47",1,"T1-OA6","OA","1",0.9166,28.1304853243116,12.3944491524543,440.605592458173
"48",1,"T1-OA6","OA","1",0.4671,28.1304853243116,9.29806286475083,330.533325591614
"49",1,"T2-A1","Control","2",0.7882,25.4094986250923,11.8424203102068,466.062730514179
"50",1,"T2-A1","Control","2",0.4973,25.4094986250923,9.63798611284159,379.306426114363
"51",1,"T2-A2","Control","2",0.7947,36.8397405050954,11.8750350974739,322.343071223084
"52",1,"T2-A2","Control","2",0.5011,36.8397405050954,9.67888999852854,262.729592169354
"53",1,"T2-A3","Control","2",0.7385,37.457660631138,11.5738676238663,308.985329805809
"54",1,"T2-A3","Control","2",0.4252,37.457660631138,8.7797623991854,234.391637151171
"55",1,"T2-A4","OA","2",0.652,35.7462401298585,11.0146902022176,308.135629431335
"56",1,"T2-A4","OA","2",0.4023,35.7462401298585,8.47158508800182,236.992339816058
"57",1,"T2-A5","OA","2",0.6844,36.171969657349,11.2390609801716,310.711887868904
"58",1,"T2-A5","OA","2",0.3985,36.171969657349,8.41863971549015,232.73932260915
"59",1,"T2-A6","OA","2",0.7865,36.1061691526484,11.8337985555017,327.750044749173
"60",1,"T2-A6","OA","2",0.465,36.1061691526484,9.27341386729228,256.837379454089
"61",2,"T2-HW1",NA,"2",0.2062,33.314463105556,4.92088423233212,147.710146693358
"62",2,"T2-HW1",NA,"2",0.3622,33.314463105556,7.88548469465396,236.698537499134
"63",2,"T2-HW2",NA,"2",0.2775,24.6160713430559,6.42608370485863,261.052367589575
"64",2,"T2-HW2",NA,"2",0.3701,24.6160713430559,8.00585665339989,325.228853208467
"65",2,"T2-HW3",NA,"2",0.1688,24.4169254126034,4.01187623430664,164.307183091766
